runload,alphaload,mu,k,n,outputAmplification,workofSepration,PB
-3162.27766016838,3.23321087139675,1.0,0.1,0.2,2.87888750967709,4.59536528745006,3.46561118546636
-3162.27766016838,3.23321087139675,1.0,0.1,0.2,2.86955531042627,4.56454337131476,3.46561118546636
-359381.366380463,3.23321087139675,1.0,0.1,0.2,3.75922438118083,3.89913540869522,5.910145068877039
-398.107170553497,3.23321087139675,1.0,0.1,0.2,2.35661128920217,4.71696648474126,2.5811202405209
-4641588.83361277,3.23321087139675,1.0,0.1,0.2,4.01003716762647,3.82677821399891,7.167202177452709
-50118.7233627271,3.23321087139675,1.0,0.1,0.2,3.48793101710671,4.40844471680721,4.866454253793
-59948425.0318941,3.23321087139675,1.0,0.1,0.2,4.16195353650322,3.48326834349153,8.17659341125547
-6309.57344480193,3.23321087139675,1.0,0.1,0.2,3.06015748912786,4.64507326701043,3.7953861559297595
-6309.57344480193,3.23321087139675,1.0,0.1,0.2,3.03876500689537,4.66305723129444,3.7953861559297595
-774263682.681128,3.23321087139675,1.0,0.1,0.2,4.21577153060492,2.97436451437092,8.89187506932819
-794.328234724281,3.23321087139675,1.0,0.1,0.2,2.53110191676193,4.68193167757743,2.8568077001769496
-10000000000.0,22.5456013964802,1.0,0.1,0.2,8.70108403999151,10.9188441007853,9.35295384738762
-10000000000.0,22.5456013964802,1.0,0.1,0.2,8.70512945385415,10.2927404946618,9.35295384738762
-100000.0,22.5456013964802,1.0,0.1,0.2,5.39720347721313,12.1517286467432,5.23282671374202
-100000.0,22.5456013964802,1.0,0.1,0.2,5.29470956727837,11.1586472268373,5.23282671374202
-1291549.66501488,22.5456013964802,1.0,0.1,0.2,6.62037863420176,11.5094608414317,6.56232992312984
-1291549.66501488,22.5456013964802,1.0,0.1,0.2,6.51427344133415,11.1793330645228,6.56232992312984
-16681005.3720006,22.5456013964802,1.0,0.1,0.2,7.53799481022447,11.7205872086412,7.70834260828036
-16681005.3720006,22.5456013964802,1.0,0.1,0.2,7.4266689982033,11.2667660734414,7.70834260828036
-215443469.003188,22.5456013964802,1.0,0.1,0.2,8.17002451301852,10.0928570859503,8.569896747233528
-215443469.003188,22.5456013964802,1.0,0.1,0.2,8.10217198278612,10.9596227161898,8.569896747233528
-25118.8643150958,22.5456013964802,1.0,0.1,0.2,4.68840912364601,11.0359822900686,4.50396292694534
-2782559402.20713,22.5456013964802,1.0,0.1,0.2,8.60590266641579,10.4063385471059,9.14985366634007
-2782559402.20713,22.5456013964802,1.0,0.1,0.2,8.53652899556097,10.9040924575131,9.14985366634007
-3162.27766016838,22.5456013964802,1.0,0.1,0.2,3.44491965269732,9.6327030527754,3.46561118546636
-359381.366380463,22.5456013964802,1.0,0.1,0.2,6.04113736940444,11.205892688603,5.910145068877039
-359381.366380463,22.5456013964802,1.0,0.1,0.2,5.92880769102871,11.5514569245913,5.910145068877039
-4641588.83361277,22.5456013964802,1.0,0.1,0.2,7.09144817998667,12.2782184660717,7.167202177452709
-4641588.83361277,22.5456013964802,1.0,0.1,0.2,6.98781076386526,11.3036604986523,7.167202177452709
-50118.7233627271,22.5456013964802,1.0,0.1,0.2,5.0655093539794,11.1940528160312,4.866454253793
