V_pb,n_0.2,n_0.4,n_0.6,n_0.8,n_1.6,r_ml
1.850002586092461,0.3246116533289209,0.5305454587890068,0.6651774631580316,0.7549748580046497,0.9071479092296767,2.0286185679876776
2.0,0.3443726219064742,0.5597750007035689,0.6975954608488806,0.786964259435733,0.9278577723554403,2.156712004287882
2.149988456491476,0.36402539685044843,0.5883613583845586,0.728556675966476,0.816605821725513,0.9448279963432162,2.2847977912148467
2.300008202553813,0.3835281341697607,0.6162128622434851,0.7578892650549035,0.8437247413002001,0.9584109693585319,2.412910298526834
2.450002630173186,0.402845781655725,0.6432354749403232,0.7854508510370606,0.8682093383535475,0.9690429673058132,2.541001184623651
2.60000308662774,0.4219821247652563,0.6693447786731571,0.8111324434810114,0.8899960183726647,0.9771975619307612,2.669097219170666
2.749998976558349,0.4409090820652177,0.6944823507977276,0.8348338181358886,0.909106526545981,0.9833556143317883,2.7971893540388204
2.9000009651534695,0.4596035518362371,0.7185681150653088,0.8565174299138266,0.925621454790829,0.9879297999153318,2.9252866969893927
3.0499928569201424,0.4780323168508857,0.7415612660638724,0.8761658607478777,0.939688943743026,0.9913014059568175,3.0533754175416328
3.200001865406602,0.49619598389756114,0.7634055294742798,0.8937950400535846,0.951507511326023,0.9937535683648715,3.181478755275586
3.3499958992628565,0.5140826625258313,0.784074977478697,0.9094597463932453,0.9613119134247678,0.995529898323085,3.309569305110133
3.500003068051693,0.5316704752965862,0.8035390502740514,0.9232595658871376,0.9693366883237552,0.9968092720284659,3.4376710717957324
3.6499965074660414,0.5489541864302891,0.8217885599762141,0.9352956090568114,0.975845225467567,0.9977270452177696,3.5657611139941507
3.800001827817969,0.5659186217846007,0.8388239135157692,0.945709792848047,0.9810707416218665,0.9983857712227806,3.693861302168299
3.949999542859922,0.5825519534874712,0.854646055393364,0.9546428408926035,0.9852288183853912,0.998851946469444,3.8219549956285492
4.099991233544684,0.5988561382493095,0.8692845361183843,0.9622603931839279,0.9885188251441934,0.9991827579255403,3.9500435444626762
4.250005028486895,0.6148023355157802,0.8827635333650593,0.968707042718816,0.9911064066453753,0.999422003886395,4.078150969690867
4.400002345927956,0.6303973614602325,0.8951185440351442,0.9741292715835108,0.9931274851057101,0.9995915711953847,4.206244323611499
4.549995851530651,0.6456187382426951,0.9064050836537875,0.9786688806282962,0.9946997968170472,0.9997089251761665,4.334334422332844
4.700002397142254,0.6604860157849678,0.9166644645413972,0.9824521513849896,0.9959202438726579,0.9997958336106447,4.462435656843179
4.850002586092461,0.6749713071820425,0.925956349861239,0.9855926149560135,0.9968661429094355,0.9998523147682405,4.590531462949249
5.0,0.689068998399096,0.9343469267382556,0.9881887124296855,0.9975960534463986,0.9998957568146606,4.718624899249453
5.149988456491476,0.7027922978008065,0.9418889159105832,0.9903344141260243,0.9981590379559925,0.9999261636618099,4.846710686176418
5.300008202553813,0.7161202533350964,0.9486574321413204,0.9920937972237217,0.9985906014179872,0.9999478815350011,4.974823193488405
5.450002630173186,0.7290513397500308,0.9547055099969336,0.9935420355530084,0.9989216119302772,0.9999652550516313,5.102914079585222
5.600003086627741,0.7415927629259019,0.9600995897141941,0.9947305696279409,0.9991740555884849,0.9999739415493244,5.231010114132237
5.7499989765583495,0.7537438789213702,0.9648910435099224,0.9957009918072665,0.999369816007352,0.999982627873279,5.359102249000391
5.9000009651534695,0.7654897346294345,0.9691455591242872,0.9964985380498746,0.9995176653798219,0.9999869709701065,5.487199591950964
6.049992856920142,0.7768464086952994,0.9729152744945302,0.9971460141025694,0.9996350393302512,0.9999913140235019,5.615288312503204
6.200001865406602,0.7878074880406689,0.9762444881238859,0.9976746532502897,0.9997219625501046,0.9999913140235019,5.743391650237157
6.349995899262856,0.7983743766815612,0.9791840336744185,0.998106698080033,0.9997871435497772,0.9999956570334662,5.871482200071704
6.500003068051694,0.8085485512404055,0.9817687895136951,0.9984598698925613,0.9998392813069037,0.9999956570334662,5.999583966757304
6.649996507466041,0.8183380828635723,0.9840454968514373,0.9987474273204328,0.9998783805175449,0.9999956570334662,6.127674008955722
6.800001827817969,0.8277504059802462,0.986045811356919,0.9989782068898319,0.999904444702513,1.0,6.25577419712987
6.949999542859922,0.8367796959498383,0.9878002857518724,0.9991697043545653,0.9999261636618099,1.0,6.38386789059012
7.099991233544684,0.8454391374078887,0.9893430108091047,0.99932632131709,0.9999435380472461,1.0,6.511956439424247
7.250005028486895,0.8537347055774566,0.9906895236476672,0.9994524439199841,0.9999565683801925,1.0,6.640063864652438
